Threads Archivos , Threads Maximo , Tiempo En Cargar Archivos, Tiempo en buscar Maximo, Tiempo de Programa, cantidad de archivos
 1, 1, 0.019ms, 0.207ms, 2688.18ms, 1
 2, 2, 0.027ms, 0.261ms, 3121.77ms, 1
3, 3, 0.018ms, 0.294ms, 2824.8ms, 1
4, 4, 0.018ms, 0.361ms, 2350.58ms, 1
6, 6, 0.018ms, 0.806ms, 2613.06ms, 1
8, 8, 0.019ms, 1.088ms, 2816.4ms, 1
10, 10, 0.026ms, 1.444ms, 2798.05ms, 1


